"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 20-Nov-2019","30 D % CHNG 
 20-Oct-2020"
"NIFTY 50","12,813.40","12,892.45","12,730.25","12,771.70","12,859.05","87.35","0.68",663997267,"429,918,857,494.52","12,963.00","7,511.10","6.44","7.35"
"BAJAJFINSV","7,843.00","8,588.65","7,843.00","7,823.40","8,548.80","725.40","9.27",4110412,"33,943,782,296.00","9,950.00","3,985.30","-13.83","31.44"
"TITAN","1,295.95","1,371.30","1,295.60","1,292.45","1,362.05","69.60","5.39",10421957,"13,994,916,518.31","1,371.30","720.90","11.15","4.78"
"GAIL","93.90","97.95","93.00","93.65","97.60","3.95","4.22",29777970,"2,853,325,085.40","133.35","65.00","-24.78","9.28"
"BAJFINANCE","4,571.95","4,762.15","4,515.25","4,536.55","4,717.00","180.45","3.98",8736410,"40,508,985,888.00","4,923.40","1,783.00","9.62","39.07"
"BHARTIARTL","470.50","485.95","465.35","468.55","483.15","14.60","3.12",11867647,"5,638,912,472.05","612.00","361.75","7.15","15.69"
"KOTAKBANK","1,820.00","1,899.00","1,812.10","1,826.35","1,882.00","55.65","3.05",9116266,"16,973,849,153.38","1,899.00","1,001.00","14.19","33.43"
"HDFCLIFE","647.35","668.55","647.35","646.05","664.70","18.65","2.89",3045488,"2,006,428,404.16","676.10","340.00","12.42","13.14"
"GRASIM","840.00","861.90","838.60","836.75","859.80","23.05","2.75",2049975,"1,738,727,295.75","861.90","385.05","5.96","7.66"
"NESTLEIND","17,050.00","17,500.00","16,915.15","16,934.15","17,400.00","465.85","2.75",254010,"4,412,981,772.60","18,369.95","12,200.00","19.01","4.19"
"NTPC","90.25","92.10","89.90","89.80","91.85","2.05","2.28",47670803,"4,362,831,890.56","125.00","73.20","-23.28","11.35"
"HDFCBANK","1,372.65","1,408.40","1,365.05","1,374.35","1,405.00","30.65","2.23",10202681,"14,195,092,102.11","1,419.00","738.75","7.93","12.29"
"HCLTECH","813.95","823.50","804.00","804.55","820.00","15.45","1.92",7455575,"6,088,744,435.25","910.70","375.25","-28.98","-8.54"
"ITC","188.80","192.00","186.05","187.90","191.35","3.45","1.84",45307312,"8,610,654,645.60","252.65","134.60","-25.05","12.21"
"TECHM","829.00","844.95","826.40","822.90","838.00","15.10","1.83",6063818,"5,083,662,458.48","887.55","471.40","6.68","-3.17"
